SSUID 1 - 12
SHHADID  13 - 15
PNUM   21 - 23
MONTHCODE   24 - 25
WPFINWGT   31 - 44
TDOB_BYEAR   104 - 107
ERACE   111 - 111
EORIGIN   109 - 109
ESEX   136 - 136
EDOB_BMONTH   96 - 97
TAGE   99 - 100
EPNPAR1   82 - 85
EPNPAR2   89 - 92
EPAR1TYP   87 - 87
EPAR2TYP   94 - 94
RFSCOV   9241 - 9241
RTANFCOV   9235 - 9235
RGACOV   9237 - 9237
RWICCOV   9239 - 9239
RSSICOV   9243 - 9243
RWICYN   9251 - 9251
ESCHOOLBREAK   720 - 720
EBREAK_YN   722 - 722
EFREE_BREAK   724 - 724
TGAYN   9249 - 9249
RPTYN   9247 - 9247
RFSYN   9253 - 9253
ERESIDENCEID   7113 - 7118
EREFPAR   45 - 47
RFAMKIND   7448 - 7448
RFPERSONS   7452 - 7453
RFRELU18   7455 - 7456
ERELRP   70 - 71
ERELRPE   72 - 73
RFAMREF   7449 - 7451
RFAMREFWT2   7470 - 7472
RFRELU18WT2   7476 - 7477
ETENURE   52 - 52
ERENTSUB   56 - 56
EVOUCHER   60 - 60
EFOOD1   3342 - 3342
EFOOD2   3344 - 3344
EFOOD3   3346 - 3346
EFOOD4   3348 - 3348
EFOOD5   3350 - 3350
EFOOD6   3352 - 3352
RFOODR   7214 - 7214
RFOODS   7216 - 7216
EAWBMORT   3338 - 3338
EAWBGAS   3340 - 3340
EAWBCRACK   3322 - 3322
EAWBHOLES   3324 - 3324
EAWBPESTS   3326 - 3326
EAWBPLUMB   3328 - 3328
EENERGY_ASST   708 - 708
EENERGY_PMT1   710 - 710
EENERGY_PMT2   711 - 711
EENERGY_PMT3   712 - 712
ESCHOOLLUNCH   714 - 714
EFREE_LUNCH   718 - 718
EFOOD_TYPE1   838 - 838
EFOOD_TYPE2   840 - 840
EFOOD_TYPE3   842 - 842
EFOOD_OTH   844 - 844
EFOOD_SR1YN   846 - 846
EFOOD_SR2YN   847 - 847
EFOOD_SR3YN   848 - 848
EFOOD_SR4YN   849 - 849
EFOOD_MNYN   851 - 851
RMESR   8443 - 8443
RWKESR1   8427 - 8427
RWKESR2   8429 - 8429
RWKESR3   8431 - 8431
RWKESR4   8433 - 8433
RWKESR5   8435 - 8435
RMWKWJB   8437 - 8437
RANY5   7355 - 7355
RHNUMPER   7458 - 7459
RHNUMU18   7461 - 7462
RHNUM65OVER   7464 - 7464
RHNUMPERWT2   7479 - 7480
RHNUMU18WT2   7482 - 7483
RHNUM65OVRT2   7485 - 7485
RFAMNUMWT2   7466 - 7466
RFAMKINDWT2   7468 - 7468
RREL_PNUM1   7356 - 7358
RREL_PNUM2   7359 - 7361
RREL_PNUM3   7362 - 7364
RREL_PNUM4   7365 - 7367
RREL_PNUM5   7368 - 7370
RREL_PNUM6   7371 - 7373
RREL_PNUM7   7374 - 7376
RREL_PNUM8   7377 - 7379
RREL_PNUM9   7380 - 7382
RREL_PNUM10   7383 - 7385
RREL_PNUM11   7386 - 7388
RREL_PNUM12   7389 - 7391
RREL_PNUM13   7392 - 7394
RREL_PNUM14   7395 - 7397
RREL_PNUM15   7398 - 7400
RREL_PNUM16   7401 - 7403
RREL_PNUM17   7404 - 7406
RREL_PNUM18   7407 - 7409
RREL_PNUM19   7410 - 7412
RREL_PNUM20   7413 - 7415
RREL_PNUM21   7416 - 7417
RREL_PNUM22   7418 - 7419
RREL_PNUM23   7420 - 7421
RREL_PNUM24   7422 - 7423
RREL_PNUM25   7424 - 7425
RREL_PNUM26   7426 - 7427
RREL_PNUM27   7428 - 7429
RREL_PNUM28   7430 - 7431
RREL_PNUM29   7432 - 7433
RREL_PNUM30   7434 - 7435
RREL1   7487 - 7488
RREL2   7489 - 7490
RREL3   7491 - 7492
RREL4   7493 - 7494
RREL5   7495 - 7496
RREL6   7497 - 7498
RREL7   7499 - 7500
RREL8   7501 - 7502
RREL9   7503 - 7504
RREL10   7505 - 7506
RREL11   7507 - 7508
RREL12   7509 - 7510
RREL13   7511 - 7512
RREL14   7513 - 7514
RREL15   7515 - 7516
RREL16   7517 - 7518
RREL17   7519 - 7520
RREL18   7521 - 7522
RREL19   7523 - 7524
RREL20   7525 - 7526
RREL21   7527 - 7528
RREL22   7529 - 7530
RREL23   7531 - 7532
RREL24   7533 - 7534
RREL25   7535 - 7536
RREL26   7537 - 7538
RREL27   7539 - 7540
RREL28   7541 - 7542
RREL29   7543 - 7544
RREL30   7545 - 7546
